"asp_north","Elev.skewn","Int.skewne","Int.P70","All_mode","Return.3.c","Elev.IQ","Elev.P40","Int.P40","Total.firs","elevation","center.X","center.Y"
-0.810326019282133,-0.0777,2.2991,6.2,129,0,4.166,9.3492,3,475,874.952026367188,442810,4691970
-1.65277739324294,-1.0141,1.5305,9,88,0,4.0431,11.0585,3,491,876.306030273438,442830,4691970
-1.94743070780273,-0.7084,2.6115,7,239,0,3.5741,11.1264,3,511,876.486022949219,442850,4691970
-1.92355728086299,0.1349,2.3456,5,167,0,4.4269,8.4371,2,559,875.260009765625,442870,4691970
-1.90687517291889,0.4283,2.7973,5,37,0,2.1929,5.2717,3,564,874.961975097656,442890,4691970
-1.90687517291889,-0.2092,1.0256,16,51,0,2.6452,6.8098,5,614,874.961975097656,442910,4691970
-1.67138984291791,0.2999,1.3954,14,113,0,6.1788,5.5396,4,605,875.528015136719,442930,4691970
-1.32242820350649,0.5109,1.6717,12,153,0,3.0501,6.9404,4,675,875.286987304688,442950,4691970
-1.11877363602417,-0.2447,1.8932,9.2,36,0,2.2204,4.8973,3,661,875.810974121094,442970,4691970
-1.73962820198269,0.0603,1.3349,14.2,66,0,2.5192,4.9948,7,602,877.049987792969,442990,4691970
-1.73962820198269,0.3008,1.3562,13,124,0,5.1206,5.5644,4,521,877.049987792969,443010,4691970
-2.12986746697542,-0.0817,1.2044,14.4,41,0,6.7411,7.9228,4,474,876.575988769531,443030,4691970
-2.09501912890134,0.8627,1.9173,10,72,0,3.1638,4.901,3,490,875.283020019531,443050,4691970
-1.86859210416365,0.7109,1.7221,11,266,0,6.745,6.0342,3,486,875.393981933594,443070,4691970
-1.71303897338926,-1.047,1.1588,14,220,0,3.5082,12.3772,5,482,875.93798828125,443090,4691970
-1.71303897338926,-0.0975,1.4298,12.4,388,0,5.9577,10.6161,4,534,875.93798828125,443110,4691970
-1.62266422645957,0.1723,1.699,10,256,0,5.4665,7.4666,4,530,875.823974609375,443130,4691970
-1.46182926122259,0.047,1.4596,12,341,0,5.3498,11.3166,4,539,875.807006835938,443150,4691970
-1.42543990889768,0.0063,1.9,10,115,0,4.9704,8.8866,3,495,876.836975097656,443170,4691970
-1.66650988378701,-0.3999,1.4525,12,54,0,4.9652,9.0708,4,433,877.849975585938,443190,4691970
-1.66650988378701,0.1679,1.8985,8,240,0,4.5657,8.1645,3,400,877.849975585938,443210,4691970
-1.81210044251944,-0.4675,2.1536,8,68,0,6.9325,12.7623,3,416,878.606018066406,443230,4691970
-1.88043528361138,-0.36,1.4452,12,144,1,5.5684,11.3118,5,441,879.383972167969,443250,4691970
-1.86773192233109,0.3176,1.2118,22,302,0,4.7571,7.8345,7,460,881.221008300781,443270,4691970
-1.7876713206443,0.5915,0.933,22,255,0,4.1305,6.7688,7,479,881.518981933594,443290,4691970
-1.7876713206443,0.8963,0.7666,24.9,335,0,4.2178,8.8257,10,509,881.518981933594,443310,4691970
-1.72099070381838,0.1144,1.4568,13,336,0,8.4886,10.6647,3,417,881.994018554688,443330,4691970
-1.67648108269323,0.5434,0.9032,17,198,0,5.3014,7.6138,6,388,882.512023925781,443350,4691970
-1.54621265586174,0.6667,1.4116,13,314,0,6.4088,8.2375,4,353,882.843994140625,443370,4691970
-1.42255123523674,0.8442,1.1109,18,263,0,2.2465,8.6999,6,345,883.289001464844,443390,4691970
-1.42255123523674,-0.447,1.553,10,90,0,7.1323,11.3188,4,346,883.289001464844,443410,4691970
-1.31293726660009,-0.4254,2.0358,4,123,0,5.7697,11.8643,2,299,883.767028808594,443430,4691970
-1.18155360672243,1.45,1.9809,8,39,0,2.1659,5.327,3,352,884.257019042969,443450,4691970
-0.843941449284996,-0.7297,1.8742,8,6,0,1.7467,5.5461,4.2,353,884.653991699219,443470,4691970
-0.435982098033766,NA,NA,NA,0,0,NA,NA,NA,372,885.690979003906,443490,4691970
-0.435982098033766,NA,NA,NA,0,0,NA,NA,NA,383,885.690979003906,443510,4691970
-0.336741325008746,-0.1783,0.9927,6.2,3,0,0.2479,3.279,2.2,442,886.43701171875,443530,4691970
-0.26672358459606,0.4818,1.4868,11.8,53,0,2.9108,6.5912,3.8,474,887.130004882812,443550,4691970
-0.214180583653514,0.8198,1.4994,7,53,0,3.1344,5.5522,3,450,888.518981933594,443570,4691970
-0.480505380452754,-0.4542,2.4349,5.1,78,0,2.683,6.8447,2,459,891.406982421875,443590,4691970
-0.480505380452754,0.8643,1.8502,14,118,0,1.6301,4.4682,4,427,891.406982421875,443610,4691970
-0.924588407034733,0.4065,1.7133,8,128,0,3.6402,7.3907,3,440,893.335021972656,443630,4691970
-1.46173851043426,-0.0324,2.054,10,302,1,3.9368,8.292,3,406,894.456970214844,443650,4691970
-1.08451009859197,-0.292,2.4571,6,78,0,4.7829,9.0069,2,399,893.752014160156,443670,4691970
-1.14818438949712,-0.0233,3.5356,4,125,0,4.897,9.11,2,402,891.065002441406,443690,4691970
-1.14818438949712,0.2297,2.488,7,269,0,3.3909,9.1293,2.4,400,891.065002441406,443710,4691970
-1.38445644233816,0.2608,2.2083,8,147,0,3.475,6.7036,3,398,884.14501953125,443730,4691970
-1.15241692234758,0.5925,1.6572,13,338,0,3.3225,8.493,5,428,880.89697265625,443750,4691970
0.28296487030649,-0.1756,1.1911,14,300,0,3.9723,8.0598,5,452,881.976989746094,443770,4691970
0.286715064795488,-0.1445,1.878,8,241,0,4.9811,9.024,3,463,885.257995605469,443790,4691970
0.286715064795488,0.5973,1.2619,17,239,0,3.1851,9.3954,6,441,885.257995605469,443810,4691970
-0.0730926398544926,0.9694,1.8361,12,197,0,4.1872,9.8641,3,433,887.195983886719,443830,4691970
-0.414723060471681,0.3811,2.0835,7,105,0,4.1646,7.5703,3,429,891.385986328125,443850,4691970
-0.80242932975655,0.0222,2.1632,6,148,0,5.4428,8.4909,2,456,893.215026855469,443870,4691970
-1.19431566720273,-0.3779,1.7412,11,203,0,5.598,11.9829,4,485,894.671020507812,443890,4691970
-1.19431566720273,-0.4586,1.7579,11,212,1,5.5567,11.8533,3,477,894.671020507812,443910,4691970
-1.0187735871364,-0.0746,1.9845,9,180,0,8.2821,11.012,3,454,896.252014160156,443930,4691970
-0.245565503872627,0.4355,1.9174,11.5,217,0,3.958,7.9516,3,430,898.682006835938,443950,4691970
0.374455992560122,0.6625,1.549,12,203,0,6.1648,8.0669,3,427,902.536987304688,443970,4691970
0.328358055242324,0.1055,1.8377,8,283,2,7.8037,9.1854,3,446,906.768005371094,443990,4691970
1.31138332394044,0.3613,0.7377,30,438,0,2.9625,5.164,12,720,856.440002441406,442010,4691950
0.98720794935506,0.2111,1.2511,19,367,0,3.9826,6.5113,6,884,855.960998535156,442030,4691950
0.444393431520213,0.6591,0.8679,27,391,0,2.4848,6.0209,10,696,855.926025390625,442050,4691950
0.208012666336301,1.0908,0.707,29,208,0,1.8945,6.0953,13,547,856.577026367188,442070,4691950
0.256754644771711,0.0735,1.3665,15,269,0,6.2953,7.0746,4,492,857.64501953125,442090,4691950
0.256754644771711,-0.8525,1.4056,12,160,0,4.4112,17.2542,4,459,857.64501953125,442110,4691950
0.301432228242789,-0.6116,0.9674,20,317,0,3.7442,13.3153,7,460,858.77001953125,442130,4691950
0.457440740693901,0.0048,1.5756,9,146,0,7.0132,10.8074,3,440,859.664001464844,442150,4691950
0.351070526430085,NA,NA,NA,0,0,NA,NA,NA,476,860.111022949219,442170,4691950
-0.577698736747573,NA,NA,NA,0,0,NA,NA,NA,497,859.216979980469,442190,4691950
-0.577698736747573,-0.8815,1.3092,14,94,1,5.1164,13.5897,4,500,859.216979980469,442210,4691950
-0.994033072079771,NA,NA,NA,0,0,NA,NA,NA,531,859.820983886719,442230,4691950
